click_id,sku,query_id,position,clicked,converted,price_rwf
CLK-000066,RW-LEA-0160,Q-0038,1,1,0,53118
CLK-000067,RW-APP-0078,Q-0035,1,0,0,10239
CLK-000068,RW-APP-0355,Q-0007,1,1,0,10408
CLK-000069,GN-LEA-0402,Q-0048,3,1,1,10720
CLK-000070,RW-LEA-0397,Q-0103,1,0,0,48935
CLK-000071,RW-LEA-0115,Q-0030,1,1,0,48511
CLK-000072,RW-LEA-0004,Q-0045,5,0,1,56851
CLK-000073,RW-JEW-0054,Q-0007,8,0,1,9251
CLK-000074,GN-JEW-0401,Q-0109,7,1,0,4237
CLK-000075,RW-BAS-0314,Q-0078,4,0,0,20953
CLK-000076,RW-JEW-0162,Q-0062,3,1,0,35159
CLK-000077,RW-BAS-0344,Q-0077,3,0,0,21228
CLK-000078,RW-APP-0083,Q-0051,1,1,0,31806
CLK-000079,RW-LEA-0369,Q-0040,2,1,0,39940
CLK-000080,RW-LEA-0397,Q-0114,2,1,0,48935
CLK-000081,RW-JEW-0231,Q-0065,9,1,1,7710
CLK-000082,RW-HOM-0277,Q-0064,1,0,0,21158
CLK-000083,RW-APP-0018,Q-0025,1,1,0,19132
CLK-000084,GN-LEA-0477,Q-0074,1,1,0,15460
CLK-000085,RW-HOM-0262,Q-0113,1,1,1,43213
CLK-000086,RW-HOM-0204,Q-0072,3,1,1,37956
CLK-000087,RW-JEW-0046,Q-0031,8,0,0,39589
CLK-000088,RW-HOM-0084,Q-0021,1,1,0,42143
CLK-000089,RW-LEA-0340,Q-0063,6,1,0,23918
CLK-000090,RW-HOM-0118,Q-0072,2,0,0,31704
CLK-000091,RW-BAS-0361,Q-0011,6,1,0,4371
CLK-000092,RW-BAS-0105,Q-0081,1,1,0,23275
CLK-000093,RW-APP-0318,Q-0033,2,1,0,17684
CLK-000094,GN-HOM-0481,Q-0018,9,1,0,4451
CLK-000095,RW-LEA-0064,Q-0088,4,1,0,58086
CLK-000096,RW-HOM-0307,Q-0058,2,1,0,13705
CLK-000097,GN-BAS-0424,Q-0115,1,1,0,5150
CLK-000098,RW-HOM-0062,Q-0015,4,1,0,35081
CLK-000099,RW-BAS-0048,Q-0055,4,0,0,21255
CLK-000100,RW-BAS-0158,Q-0054,1,1,0,6314
CLK-000101,RW-LEA-0273,Q-0014,2,1,0,17375
CLK-000102,RW-JEW-0333,Q-0120,3,1,0,6185
CLK-000103,RW-APP-0341,Q-0108,1,0,0,10509
CLK-000104,GN-BAS-0428,Q-0094,1,1,0,6993
CLK-000105,GN-LEA-0455,Q-0005,1,0,0,19934
CLK-000106,GN-LEA-0491,Q-0097,1,1,0,9707
CLK-000107,RW-APP-0335,Q-0097,6,1,0,21367
CLK-000108,GN-JEW-0410,Q-0101,1,0,0,4047
CLK-000109,RW-JEW-0349,Q-0061,7,1,1,21304
CLK-000110,RW-HOM-0225,Q-0019,4,0,0,34897
CLK-000111,RW-BAS-0050,Q-0086,4,1,0,23592
CLK-000112,RW-APP-0036,Q-0074,1,1,0,6248
CLK-000113,RW-APP-0206,Q-0021,1,0,1,33660
CLK-000114,RW-BAS-0296,Q-0056,3,1,0,12224
CLK-000115,RW-LEA-0224,Q-0018,10,1,0,44539
CLK-000116,RW-LEA-0269,Q-0084,2,1,0,40018
CLK-000117,RW-JEW-0231,Q-0062,2,1,0,7710
CLK-000118,GN-APP-0487,Q-0017,1,1,0,6622
CLK-000119,RW-APP-0393,Q-0074,7,1,0,17447
CLK-000120,GN-JEW-0421,Q-0027,3,1,0,12688
CLK-000121,RW-LEA-0150,Q-0051,1,0,0,54054
CLK-000122,RW-HOM-0176,Q-0068,5,1,0,17952
CLK-000123,RW-BAS-0309,Q-0038,9,1,0,20801
CLK-000124,RW-BAS-0265,Q-0076,4,1,0,12995
CLK-000125,RW-BAS-0280,Q-0107,3,1,0,14701
CLK-000126,RW-BAS-0135,Q-0096,2,1,0,23101
CLK-000127,RW-HOM-0021,Q-0014,1,1,0,44721
CLK-000128,RW-BAS-0039,Q-0034,3,0,0,9484
CLK-000129,RW-HOM-0034,Q-0090,1,1,1,34339
CLK-000130,RW-APP-0208,Q-0045,2,1,0,12381
CLK-000131,RW-LEA-0255,Q-0044,6,1,0,16539
CLK-000132,RW-BAS-0213,Q-0038,6,1,0,5444
CLK-000133,GN-BAS-0463,Q-0077,1,0,0,7180
CLK-000134,RW-HOM-0234,Q-0020,2,1,1,27375
CLK-000135,GN-JEW-0480,Q-0067,2,1,0,13396
CLK-000136,RW-JEW-0252,Q-0054,2,0,0,23411
CLK-000137,RW-HOM-0021,Q-0053,5,0,0,44721
CLK-000138,RW-LEA-0123,Q-0109,1,0,0,58493
CLK-000139,RW-HOM-0098,Q-0059,6,1,0,43437
CLK-000140,RW-BAS-0135,Q-0030,10,1,0,23101
CLK-000141,RW-HOM-0204,Q-0081,2,0,0,37956
CLK-000142,RW-JEW-0372,Q-0065,2,1,0,14654
CLK-000143,RW-HOM-0266,Q-0093,3,1,1,34934
CLK-000144,RW-JEW-0153,Q-0071,6,1,0,20013
CLK-000145,GN-BAS-0424,Q-0064,1,1,1,5150
CLK-000146,RW-BAS-0315,Q-0076,2,1,0,3861
CLK-000147,RW-HOM-0130,Q-0003,12,1,0,13578
CLK-000148,RW-LEA-0072,Q-0072,1,0,0,57375
CLK-000149,RW-BAS-0263,Q-0077,5,1,0,7891
CLK-000150,GN-HOM-0493,Q-0092,3,1,1,8448
CLK-000151,RW-BAS-0312,Q-0094,10,0,0,8284
CLK-000152,GN-JEW-0405,Q-0053,3,1,1,5902
CLK-000153,RW-JEW-0054,Q-0119,3,1,0,9251
CLK-000154,RW-HOM-0319,Q-0042,2,0,0,31041
CLK-000155,GN-LEA-0482,Q-0059,8,1,1,9766
CLK-000156,RW-LEA-0121,Q-0050,2,0,0,15355
CLK-000157,RW-APP-0271,Q-0097,8,1,0,9022
CLK-000158,RW-LEA-0028,Q-0045,1,0,0,38517
CLK-000159,RW-HOM-0382,Q-0086,5,1,0,39514
CLK-000160,RW-BAS-0197,Q-0097,1,1,1,24171
CLK-000161,RW-HOM-0222,Q-0001,3,1,0,39428
CLK-000162,RW-LEA-0380,Q-0049,5,1,0,32572
CLK-000163,RW-APP-0208,Q-0103,2,1,0,12381
CLK-000164,RW-APP-0355,Q-0071,1,0,1,10408
CLK-000165,GN-LEA-0434,Q-0023,1,1,0,24120
CLK-000166,RW-BAS-0213,Q-0097,3,0,0,5444
CLK-000167,RW-JEW-0094,Q-0120,5,1,0,28972
CLK-000168,RW-APP-0248,Q-0110,2,0,0,30967
CLK-000169,RW-BAS-0042,Q-0009,1,0,0,8873
CLK-000170,GN-LEA-0482,Q-0077,2,1,1,9766
CLK-000171,GN-LEA-0482,Q-0091,5,0,1,9766
CLK-000172,RW-LEA-0194,Q-0029,3,1,0,47299
CLK-000173,GN-JEW-0492,Q-0090,2,1,0,2317
CLK-000174,GN-BAS-0428,Q-0029,1,0,1,6993
CLK-000175,RW-APP-0001,Q-0034,1,1,0,17990
CLK-000176,RW-APP-0318,Q-0053,4,1,0,17684
CLK-000177,RW-LEA-0128,Q-0098,15,1,0,78713
CLK-000178,RW-HOM-0086,Q-0068,1,1,1,31414
CLK-000179,RW-LEA-0390,Q-0062,5,0,1,17606
CLK-000180,RW-JEW-0370,Q-0013,1,0,0,19432
CLK-000181,GN-HOM-0493,Q-0055,2,1,0,8448
CLK-000182,GN-BAS-0426,Q-0014,1,0,0,4328
CLK-000183,RW-HOM-0225,Q-0025,1,1,0,34897
CLK-000184,RW-LEA-0076,Q-0001,1,1,0,74863
CLK-000185,RW-APP-0056,Q-0061,2,1,0,9598
CLK-000186,RW-APP-0276,Q-0094,2,0,0,33567
CLK-000187,RW-JEW-0299,Q-0030,7,1,0,44930
CLK-000188,RW-JEW-0372,Q-0040,2,0,0,14654
CLK-000189,GN-LEA-0432,Q-0086,1,0,0,7623
CLK-000190,RW-JEW-0011,Q-0111,1,0,0,35891
CLK-000191,RW-APP-0077,Q-0014,3,0,0,18669
CLK-000192,RW-JEW-0116,Q-0071,15,0,1,49866
CLK-000193,RW-HOM-0267,Q-0075,1,1,1,11217
CLK-000194,RW-HOM-0146,Q-0031,6,1,0,11402
CLK-000195,GN-LEA-0455,Q-0119,2,1,0,19934
CLK-000196,RW-BAS-0275,Q-0096,3,0,0,21160
CLK-000197,RW-APP-0318,Q-0039,1,0,0,17684
CLK-000198,RW-LEA-0192,Q-0003,1,1,0,23893
CLK-000199,RW-BAS-0151,Q-0089,2,1,0,4685
CLK-000200,RW-JEW-0119,Q-0016,1,1,0,16066
CLK-000201,RW-APP-0398,Q-0061,5,0,0,30124
CLK-000202,RW-HOM-0277,Q-0120,1,0,1,21158
CLK-000203,RW-JEW-0046,Q-0106,4,1,0,39589
CLK-000204,RW-BAS-0361,Q-0007,5,0,0,4371
CLK-000205,GN-JEW-0489,Q-0101,1,1,0,8715
CLK-000206,GN-BAS-0424,Q-0105,1,1,0,5150
CLK-000207,RW-BAS-0263,Q-0048,4,1,0,7891
CLK-000208,RW-JEW-0134,Q-0092,5,1,0,47326
CLK-000209,GN-HOM-0472,Q-0002,4,1,0,5394
CLK-000210,GN-APP-0470,Q-0012,4,1,0,4607
CLK-000211,RW-APP-0235,Q-0018,5,0,0,18415
CLK-000212,GN-HOM-0460,Q-0104,3,0,0,6869
CLK-000213,GN-JEW-0440,Q-0089,5,1,0,12595
CLK-000214,RW-LEA-0045,Q-0090,2,1,0,22726
CLK-000215,RW-BAS-0223,Q-0013,7,1,0,24894
CLK-000216,RW-JEW-0252,Q-0012,2,1,0,23411
CLK-000217,RW-JEW-0106,Q-0118,1,1,1,45426
CLK-000218,RW-BAS-0315,Q-0048,3,1,0,3861
CLK-000219,RW-APP-0193,Q-0050,2,1,0,27040
CLK-000220,RW-HOM-0034,Q-0024,1,1,0,34339
CLK-000221,RW-HOM-0167,Q-0020,1,1,1,7833
CLK-000222,RW-HOM-0364,Q-0030,1,1,1,22105
CLK-000223,RW-HOM-0172,Q-0034,1,0,0,25145
CLK-000224,RW-LEA-0029,Q-0057,3,0,0,38807
CLK-000225,RW-LEA-0045,Q-0116,16,1,0,22726
CLK-000226,RW-HOM-0118,Q-0031,2,1,1,31704
CLK-000227,RW-LEA-0387,Q-0109,3,0,0,60896
CLK-000228,GN-BAS-0471,Q-0037,2,0,1,2345
CLK-000229,RW-JEW-0372,Q-0075,4,0,0,14654
CLK-000230,RW-APP-0228,Q-0020,1,1,0,5571
CLK-000231,RW-JEW-0370,Q-0036,3,1,0,19432
CLK-000232,RW-JEW-0016,Q-0093,2,1,0,36732
CLK-000233,RW-JEW-0117,Q-0108,1,0,1,6944
CLK-000234,RW-BAS-0309,Q-0022,3,1,0,20801
CLK-000235,GN-JEW-0440,Q-0086,1,1,0,12595
CLK-000236,RW-JEW-0268,Q-0064,3,0,0,47369
CLK-000237,RW-APP-0019,Q-0113,8,1,0,21961
CLK-000238,RW-LEA-0142,Q-0059,1,1,0,50694
CLK-000239,RW-LEA-0181,Q-0016,1,1,0,30494
CLK-000240,GN-LEA-0418,Q-0115,1,1,0,15809
CLK-000241,RW-APP-0083,Q-0031,1,0,1,31806
CLK-000242,RW-APP-0001,Q-0039,2,1,0,17990
CLK-000243,RW-BAS-0265,Q-0064,1,1,1,12995
CLK-000244,GN-BAS-0409,Q-0089,4,0,1,2355
CLK-000245,RW-APP-0341,Q-0041,1,1,0,10509
CLK-000246,RW-APP-0329,Q-0075,2,1,0,13022
CLK-000247,RW-JEW-0106,Q-0111,4,1,0,45426
CLK-000248,RW-HOM-0277,Q-0120,4,0,0,21158
CLK-000249,RW-LEA-0399,Q-0016,1,1,0,75901
CLK-000250,RW-APP-0077,Q-0111,2,1,0,18669
CLK-000251,RW-JEW-0152,Q-0080,3,1,1,35944
CLK-000252,RW-BAS-0263,Q-0042,1,1,1,7891
CLK-000253,RW-APP-0292,Q-0005,3,1,0,31774
CLK-000254,RW-JEW-0139,Q-0120,2,1,0,18440
CLK-000255,RW-LEA-0181,Q-0114,3,1,0,30494
CLK-000256,GN-JEW-0448,Q-0068,1,1,1,3055
CLK-000257,RW-BAS-0166,Q-0051,2,1,0,10492
CLK-000258,RW-BAS-0233,Q-0053,4,0,0,11539
CLK-000259,RW-BAS-0066,Q-0079,7,0,0,5329
CLK-000260,GN-APP-0403,Q-0024,4,1,0,3657
CLK-000261,GN-JEW-0457,Q-0081,1,0,0,4933
CLK-000262,RW-BAS-0141,Q-0035,2,1,0,15917
CLK-000263,GN-HOM-0481,Q-0066,6,1,0,4451
CLK-000264,RW-JEW-0373,Q-0031,4,1,1,28678
CLK-000265,RW-BAS-0260,Q-0048,3,0,0,8553
CLK-000266,RW-HOM-0351,Q-0106,5,1,1,38541
CLK-000267,GN-BAS-0424,Q-0103,3,1,0,5150
CLK-000268,RW-HOM-0222,Q-0076,4,0,1,39428
CLK-000269,GN-HOM-0478,Q-0111,4,1,0,8570
CLK-000270,GN-LEA-0499,Q-0092,3,1,0,7158
CLK-000271,RW-LEA-0350,Q-0029,6,0,0,57008
CLK-000272,RW-JEW-0231,Q-0071,1,0,1,7710
CLK-000273,RW-HOM-0146,Q-0104,3,0,0,11402
CLK-000274,RW-APP-0228,Q-0096,5,0,0,5571
CLK-000275,RW-JEW-0303,Q-0014,2,1,0,29568
CLK-000276,GN-APP-0473,Q-0019,1,1,1,2306
CLK-000277,RW-JEW-0145,Q-0118,1,0,0,16066
CLK-000278,RW-BAS-0125,Q-0033,8,1,0,5502
CLK-000279,RW-LEA-0356,Q-0100,1,1,0,38229
CLK-000280,RW-APP-0122,Q-0061,4,1,1,29044
CLK-000281,RW-LEA-0012,Q-0120,6,0,0,43414
CLK-000282,RW-APP-0060,Q-0118,2,1,0,8654
CLK-000283,RW-BAS-0105,Q-0007,1,1,0,23275
CLK-000284,RW-APP-0341,Q-0100,4,1,0,10509
CLK-000285,RW-HOM-0118,Q-0090,9,1,1,31704
CLK-000286,RW-JEW-0134,Q-0018,9,0,0,47326
CLK-000287,RW-LEA-0154,Q-0065,1,0,0,25643
CLK-000288,RW-HOM-0044,Q-0053,5,0,0,12329
CLK-000289,RW-HOM-0374,Q-0099,1,0,1,32420
CLK-000290,RW-BAS-0135,Q-0099,3,1,0,23101
CLK-000291,RW-LEA-0212,Q-0048,4,0,0,15107
CLK-000292,RW-BAS-0101,Q-0061,5,1,0,5845
CLK-000293,RW-APP-0206,Q-0027,1,1,0,33660
CLK-000294,RW-LEA-0380,Q-0011,1,0,1,32572
CLK-000295,RW-LEA-0031,Q-0048,3,1,0,62899
CLK-000296,GN-HOM-0459,Q-0048,3,1,1,11643
CLK-000297,RW-APP-0228,Q-0024,1,1,0,5571
CLK-000298,RW-BAS-0126,Q-0089,3,1,1,16860
CLK-000299,RW-BAS-0186,Q-0086,1,0,0,3651
CLK-000300,RW-JEW-0187,Q-0059,1,1,0,16459
CLK-000301,RW-HOM-0052,Q-0100,2,1,0,40850
CLK-000302,RW-JEW-0067,Q-0063,1,1,0,12468
CLK-000303,GN-LEA-0423,Q-0008,1,0,1,15251
CLK-000304,RW-LEA-0387,Q-0078,2,1,0,60896
CLK-000305,GN-HOM-0416,Q-0058,10,0,0,6131
CLK-000306,RW-LEA-0238,Q-0071,1,1,0,50980
CLK-000307,GN-BAS-0447,Q-0012,1,1,0,6826
CLK-000308,RW-BAS-0039,Q-0017,4,1,0,9484
CLK-000309,RW-LEA-0123,Q-0007,2,0,0,58493
CLK-000310,RW-APP-0210,Q-0025,12,1,0,16535
CLK-000311,RW-HOM-0377,Q-0013,2,1,0,19751
CLK-000312,RW-HOM-0100,Q-0103,4,1,0,29422
CLK-000313,RW-LEA-0072,Q-0120,1,1,0,57375
CLK-000314,RW-APP-0235,Q-0114,3,1,0,18415
CLK-000315,GN-JEW-0401,Q-0118,1,1,1,4237
CLK-000316,GN-JEW-0479,Q-0046,4,1,0,4067
CLK-000317,RW-BAS-0328,Q-0039,1,0,1,19474
CLK-000318,RW-JEW-0016,Q-0071,2,1,0,36732
CLK-000319,GN-JEW-0401,Q-0076,2,1,0,4237
CLK-000320,RW-LEA-0387,Q-0040,4,1,0,60896
CLK-000321,RW-HOM-0146,Q-0080,8,1,0,11402
CLK-000322,RW-APP-0036,Q-0046,1,0,0,6248
CLK-000323,GN-LEA-0485,Q-0047,2,1,0,20934
CLK-000324,RW-HOM-0267,Q-0031,2,1,0,11217
CLK-000325,RW-APP-0053,Q-0081,1,1,0,5663
CLK-000326,RW-HOM-0052,Q-0111,3,0,0,40850
CLK-000327,GN-HOM-0468,Q-0082,5,0,0,6630
CLK-000328,RW-LEA-0076,Q-0103,2,1,0,74863
CLK-000329,RW-JEW-0284,Q-0095,1,1,0,40713
CLK-000330,GN-BAS-0426,Q-0068,2,0,0,4328
CLK-000331,RW-BAS-0075,Q-0060,2,1,1,7230
CLK-000332,RW-BAS-0396,Q-0103,4,1,1,24091
CLK-000333,RW-BAS-0290,Q-0045,3,1,0,23901
CLK-000334,RW-LEA-0123,Q-0068,2,1,0,58493
CLK-000335,RW-BAS-0065,Q-0015,3,1,0,13981
CLK-000336,RW-APP-0354,Q-0037,2,0,0,17682
CLK-000337,RW-LEA-0254,Q-0056,4,0,0,23522
CLK-000338,RW-LEA-0057,Q-0046,3,0,0,17911
CLK-000339,GN-HOM-0481,Q-0063,1,0,0,4451
CLK-000340,RW-JEW-0247,Q-0042,1,1,0,47738
CLK-000341,RW-BAS-0113,Q-0098,6,0,0,14979
CLK-000342,GN-JEW-0496,Q-0105,5,1,0,13265
CLK-000343,RW-JEW-0183,Q-0005,8,1,1,5365
CLK-000344,RW-LEA-0331,Q-0005,3,1,1,29735
CLK-000345,RW-APP-0195,Q-0006,8,1,0,15526
CLK-000346,RW-LEA-0142,Q-0008,3,0,0,50694
CLK-000347,RW-LEA-0035,Q-0110,6,1,0,21155
CLK-000348,GN-HOM-0495,Q-0008,8,1,0,10805
CLK-000349,RW-LEA-0257,Q-0035,3,0,1,78416
CLK-000350,RW-LEA-0064,Q-0085,7,1,1,58086
CLK-000351,RW-LEA-0181,Q-0114,2,1,0,30494
CLK-000352,RW-APP-0195,Q-0066,5,1,0,15526
CLK-000353,RW-HOM-0383,Q-0058,3,1,0,29025
CLK-000354,RW-HOM-0098,Q-0047,1,0,0,43437
CLK-000355,RW-HOM-0363,Q-0054,12,1,0,27171
CLK-000356,RW-BAS-0158,Q-0019,1,1,0,6314
CLK-000357,RW-LEA-0192,Q-0062,8,1,0,23893
CLK-000358,RW-BAS-0282,Q-0006,1,0,0,23254
CLK-000359,RW-BAS-0075,Q-0069,3,1,0,7230
CLK-000360,RW-LEA-0399,Q-0025,5,1,1,75901
CLK-000361,RW-JEW-0313,Q-0114,2,0,0,25779
CLK-000362,RW-HOM-0204,Q-0053,2,1,0,37956
CLK-000363,RW-HOM-0062,Q-0065,2,1,0,35081
CLK-000364,RW-HOM-0088,Q-0081,3,0,0,21633
CLK-000365,GN-HOM-0452,Q-0021,10,0,0,11009
CLK-000366,RW-LEA-0295,Q-0060,2,1,0,24718
CLK-000367,RW-JEW-0139,Q-0120,2,1,0,18440
CLK-000368,GN-APP-0487,Q-0009,9,0,0,6622
CLK-000369,RW-JEW-0306,Q-0007,6,1,1,23002
CLK-000370,RW-LEA-0142,Q-0058,1,1,0,50694
CLK-000371,RW-HOM-0374,Q-0094,3,1,1,32420
CLK-000372,RW-LEA-0386,Q-0076,4,1,0,22695
CLK-000373,GN-APP-0465,Q-0116,2,1,1,4031
CLK-000374,RW-APP-0185,Q-0061,5,1,0,18312
CLK-000375,RW-JEW-0299,Q-0090,1,0,0,44930
CLK-000376,RW-LEA-0057,Q-0090,11,0,0,17911
CLK-000377,RW-BAS-0050,Q-0115,1,0,0,23592
CLK-000378,RW-JEW-0165,Q-0064,2,1,0,24388
CLK-000379,GN-JEW-0419,Q-0022,2,1,0,4264
CLK-000380,RW-APP-0195,Q-0033,2,0,0,15526
CLK-000381,GN-JEW-0415,Q-0085,1,1,0,13219
CLK-000382,RW-BAS-0291,Q-0090,5,1,1,24696
CLK-000383,RW-JEW-0139,Q-0029,4,0,0,18440
CLK-000384,RW-HOM-0172,Q-0048,2,1,0,25145
CLK-000385,RW-LEA-0092,Q-0033,1,1,0,74562
CLK-000386,GN-LEA-0431,Q-0045,2,1,1,14797
CLK-000387,RW-JEW-0183,Q-0060,2,1,1,5365
CLK-000388,RW-LEA-0236,Q-0074,7,1,0,69355
CLK-000389,RW-JEW-0180,Q-0056,1,0,0,29995
CLK-000390,RW-APP-0235,Q-0060,2,1,0,18415
CLK-000391,RW-APP-0322,Q-0101,1,0,0,21565
CLK-000392,RW-LEA-0035,Q-0102,4,1,0,21155
CLK-000393,RW-JEW-0375,Q-0033,4,1,0,9676
CLK-000394,GN-JEW-0498,Q-0067,1,0,0,4999
CLK-000395,RW-HOM-0374,Q-0007,11,1,1,32420
CLK-000396,RW-JEW-0002,Q-0082,1,0,1,48903
CLK-000397,GN-LEA-0490,Q-0032,2,0,0,22670
CLK-000398,GN-JEW-0500,Q-0098,2,0,1,8189
CLK-000399,RW-HOM-0281,Q-0032,2,1,0,38042
CLK-000400,RW-HOM-0388,Q-0094,3,1,1,26777
CLK-000401,GN-JEW-0421,Q-0026,1,1,1,12688
CLK-000402,GN-APP-0442,Q-0005,1,1,1,7096
CLK-000403,RW-APP-0384,Q-0011,3,1,0,19452
CLK-000404,RW-JEW-0119,Q-0023,3,1,0,16066
CLK-000405,RW-APP-0371,Q-0104,3,1,1,14170
CLK-000406,RW-APP-0083,Q-0050,3,1,0,31806
CLK-000407,GN-JEW-0497,Q-0088,5,0,0,9119
CLK-000408,RW-BAS-0066,Q-0025,2,1,0,5329
CLK-000409,RW-JEW-0097,Q-0096,6,1,0,31135
CLK-000410,RW-HOM-0301,Q-0033,1,0,1,40104
CLK-000411,RW-LEA-0257,Q-0049,1,1,0,78416
CLK-000412,RW-LEA-0128,Q-0005,1,1,0,78713
CLK-000413,RW-BAS-0081,Q-0026,3,0,0,22560
CLK-000414,GN-HOM-0430,Q-0105,6,1,0,6825
CLK-000415,RW-APP-0302,Q-0016,3,1,0,25242
CLK-000416,GN-BAS-0488,Q-0053,3,1,0,1656
CLK-000417,RW-JEW-0024,Q-0099,6,0,0,41630
CLK-000418,GN-APP-0494,Q-0029,2,1,0,13246
CLK-000419,GN-LEA-0429,Q-0048,13,1,0,20560
CLK-000420,RW-HOM-0388,Q-0089,5,1,0,26777
CLK-000421,RW-LEA-0169,Q-0096,18,1,1,54517
CLK-000422,RW-BAS-0197,Q-0043,2,1,1,24171
CLK-000423,RW-APP-0112,Q-0012,1,1,0,24112
CLK-000424,RW-APP-0259,Q-0095,3,1,1,12342
CLK-000425,RW-LEA-0390,Q-0037,10,1,0,17606
CLK-000426,RW-LEA-0148,Q-0080,4,0,0,35403
CLK-000427,GN-HOM-0459,Q-0086,2,1,0,11643
CLK-000428,RW-BAS-0227,Q-0042,4,0,0,21112
CLK-000429,RW-HOM-0209,Q-0114,1,1,0,37025
CLK-000430,RW-BAS-0263,Q-0104,5,1,0,7891
CLK-000431,RW-HOM-0274,Q-0064,12,0,0,26671
CLK-000432,RW-HOM-0204,Q-0004,13,1,0,37956
CLK-000433,RW-BAS-0186,Q-0090,2,1,0,3651
CLK-000434,RW-LEA-0031,Q-0077,1,1,1,62899
CLK-000435,RW-JEW-0030,Q-0042,3,0,1,48612
CLK-000436,RW-HOM-0085,Q-0109,3,1,0,16115
CLK-000437,RW-HOM-0146,Q-0026,1,0,0,11402
CLK-000438,RW-LEA-0031,Q-0119,1,0,1,62899
